service_id,date,exception_type
20-1-127,20220624,2
20-1-127,20220625,2
20-1-127,20220626,2
20-1-127,20220627,2
20-1-127,20220628,2
20-1-127,20220629,2
20-1-127,20220630,2
20-1-127,20220701,2
20-1-127,20220702,2
20-1-127,20220703,2
20-1-127,20220704,2
20-1-127,20220705,2
20-1-127,20220706,2
20-1-127,20220707,2
20-1-127,20220708,2
20-1-127,20220709,2
20-1-127,20220710,2
20-1-127,20220711,2
20-1-127,20220712,2
20-1-127,20220713,2
20-1-127,20220714,2
20-1-127,20220715,2
20-1-127,20220716,2
20-1-127,20220717,2
20-1-127,20220718,2
20-1-127,20220719,2
20-1-127,20220720,2
20-1-127,20220721,2
20-1-127,20220722,2
20-1-127,20220723,2
20-1-127,20220724,2
20-1-127,20220725,2
20-1-127,20220726,2
20-1-127,20220727,2
20-1-127,20220728,2
20-1-127,20220729,2
20-1-127,20220730,2
20-1-127,20220731,2
20-1-127,20220801,2
20-1-127,20220802,2
20-1-127,20220803,2
20-1-127,20220804,2
20-1-127,20220805,2
20-1-127,20220806,2
20-1-127,20220807,2
20-1-127,20220808,2
20-1-127,20220809,2
20-1-127,20220810,2
20-1-127,20220811,2
20-1-127,20220812,2
20-1-127,20220813,2
20-1-127,20220814,2
20-1-127,20220815,2
20-1-127,20220816,2
20-1-127,20220817,2
20-1-127,20220818,2
20-1-127,20220819,2
20-1-127,20220820,2
20-1-127,20220821,2
20-1-127,20220822,2
20-1-127,20220823,2
20-1-127,20220824,2
20-1-127,20220825,2
20-1-127,20220826,2
20-1-127,20220827,2
20-1-127,20220828,2
21-1-127,20220326,2
21-1-127,20220327,2
21-1-127,20220402,2
21-1-127,20220403,2
21-1-127,20220409,2
21-1-127,20220410,2
21-1-127,20220416,2
21-1-127,20220417,2
21-1-127,20220418,2
21-1-127,20220423,2
21-1-127,20220424,2
21-1-127,20220425,2
21-1-127,20220426,2
21-1-127,20220427,2
21-1-127,20220428,2
21-1-127,20220429,2
21-1-127,20220430,2
21-1-127,20220501,2
21-1-127,20220502,2
21-1-127,20220503,2
21-1-127,20220504,2
21-1-127,20220505,2
21-1-127,20220506,2
21-1-127,20220507,2
21-1-127,20220508,2
21-1-127,20220514,2
21-1-127,20220515,2
21-1-127,20220521,2
21-1-127,20220522,2
21-1-127,20220526,2
21-1-127,20220527,2
21-1-127,20220528,2
21-1-127,20220529,2
21-1-127,20220604,2
21-1-127,20220605,2
21-1-127,20220606,2
21-1-127,20220611,2
21-1-127,20220612,2
21-1-127,20220618,2
21-1-127,20220619,2
21-1-127,20220625,2
21-1-127,20220626,2
21-1-127,20220627,2
21-1-127,20220628,2
21-1-127,20220629,2
21-1-127,20220630,2
21-1-127,20220701,2
21-1-127,20220702,2
21-1-127,20220703,2
21-1-127,20220704,2
21-1-127,20220705,2
21-1-127,20220706,2
21-1-127,20220707,2
21-1-127,20220708,2
21-1-127,20220709,2
21-1-127,20220710,2
21-1-127,20220711,2
21-1-127,20220712,2
21-1-127,20220713,2
21-1-127,20220714,2
21-1-127,20220715,2
21-1-127,20220716,2
21-1-127,20220717,2
21-1-127,20220718,2
21-1-127,20220719,2
21-1-127,20220720,2
21-1-127,20220721,2
21-1-127,20220722,2
21-1-127,20220723,2
21-1-127,20220724,2
21-1-127,20220725,2
21-1-127,20220726,2
21-1-127,20220727,2
21-1-127,20220728,2
21-1-127,20220729,2
21-1-127,20220730,2
21-1-127,20220731,2
21-1-127,20220801,2
21-1-127,20220802,2
21-1-127,20220803,2
21-1-127,20220804,2
21-1-127,20220805,2
21-1-127,20220806,2
21-1-127,20220807,2
21-1-127,20220808,2
21-1-127,20220809,2
21-1-127,20220810,2
21-1-127,20220811,2
21-1-127,20220812,2
21-1-127,20220813,2
21-1-127,20220814,2
21-1-127,20220815,2
21-1-127,20220816,2
21-1-127,20220817,2
21-1-127,20220818,2
21-1-127,20220819,2
21-1-127,20220820,2
21-1-127,20220821,2
21-1-127,20220822,2
21-1-127,20220823,2
21-1-127,20220824,2
21-1-127,20220825,2
21-1-127,20220826,2
21-1-127,20220827,2
21-1-127,20220828,2
2-1-127,20220321,2
2-1-127,20220322,2
2-1-127,20220323,2
2-1-127,20220324,2
2-1-127,20220325,2
2-1-127,20220326,2
2-1-127,20220327,2
2-1-127,20220328,2
2-1-127,20220329,2
2-1-127,20220330,2
2-1-127,20220331,2
2-1-127,20220401,2
2-1-127,20220402,2
2-1-127,20220403,2
2-1-127,20220404,2
2-1-127,20220405,2
2-1-127,20220406,2
2-1-127,20220407,2
2-1-127,20220408,2
2-1-127,20220409,2
2-1-127,20220410,2
2-1-127,20220411,2
2-1-127,20220412,2
2-1-127,20220413,2
2-1-127,20220414,2
2-1-127,20220415,2
2-1-127,20220416,2
2-1-127,20220417,2
2-1-127,20220418,2
2-1-127,20220419,2
2-1-127,20220420,2
2-1-127,20220421,2
2-1-127,20220422,2
2-1-127,20220423,2
2-1-127,20220424,2
2-1-127,20220425,2
2-1-127,20220426,2
2-1-127,20220427,2
2-1-127,20220428,2
2-1-127,20220429,2
2-1-127,20220430,2
2-1-127,20220501,2
2-1-127,20220502,2
2-1-127,20220503,2
2-1-127,20220504,2
2-1-127,20220505,2
2-1-127,20220506,2
2-1-127,20220507,2
2-1-127,20220508,2
2-1-127,20220509,2
2-1-127,20220510,2
2-1-127,20220511,2
2-1-127,20220512,2
2-1-127,20220513,2
2-1-127,20220514,2
2-1-127,20220515,2
2-1-127,20220516,2
2-1-127,20220517,2
2-1-127,20220518,2
2-1-127,20220519,2
2-1-127,20220520,2
2-1-127,20220521,2
2-1-127,20220522,2
2-1-127,20220523,2
2-1-127,20220524,2
2-1-127,20220525,2
2-1-127,20220526,2
2-1-127,20220527,2
2-1-127,20220528,2
2-1-127,20220529,2
2-1-127,20220530,2
2-1-127,20220531,2
2-1-127,20220601,2
2-1-127,20220602,2
2-1-127,20220603,2
2-1-127,20220604,2
2-1-127,20220605,2
2-1-127,20220606,2
2-1-127,20220607,2
2-1-127,20220608,2
2-1-127,20220609,2
2-1-127,20220610,2
2-1-127,20220611,2
2-1-127,20220612,2
2-1-127,20220613,2
2-1-127,20220614,2
2-1-127,20220615,2
2-1-127,20220616,2
2-1-127,20220617,2
2-1-127,20220618,2
2-1-127,20220619,2
2-1-127,20220620,2
2-1-127,20220621,2
2-1-127,20220622,2
2-1-127,20220623,2
2-1-127,20220624,2
2-1-127,20220625,2
2-1-127,20220627,2
2-1-127,20220628,2
2-1-127,20220629,2
2-1-127,20220630,2
2-1-127,20220701,2
2-1-127,20220702,2
2-1-127,20220704,2
2-1-127,20220705,2
2-1-127,20220706,2
2-1-127,20220707,2
2-1-127,20220708,2
2-1-127,20220709,2
2-1-127,20220711,2
2-1-127,20220712,2
2-1-127,20220713,2
2-1-127,20220715,2
2-1-127,20220716,2
2-1-127,20220718,2
2-1-127,20220719,2
2-1-127,20220720,2
2-1-127,20220721,2
2-1-127,20220722,2
2-1-127,20220723,2
2-1-127,20220725,2
2-1-127,20220726,2
2-1-127,20220727,2
2-1-127,20220728,2
2-1-127,20220729,2
2-1-127,20220730,2
2-1-127,20220801,2
2-1-127,20220802,2
2-1-127,20220803,2
2-1-127,20220804,2
2-1-127,20220805,2
2-1-127,20220806,2
2-1-127,20220808,2
2-1-127,20220809,2
2-1-127,20220810,2
2-1-127,20220811,2
2-1-127,20220812,2
2-1-127,20220813,2
2-1-127,20220816,2
2-1-127,20220817,2
2-1-127,20220818,2
2-1-127,20220819,2
2-1-127,20220820,2
2-1-127,20220822,2
2-1-127,20220823,2
2-1-127,20220824,2
2-1-127,20220825,2
2-1-127,20220826,2
2-1-127,20220827,2
22-1-127,20220321,2
22-1-127,20220322,2
22-1-127,20220323,2
22-1-127,20220324,2
22-1-127,20220325,2
22-1-127,20220326,2
22-1-127,20220327,2
22-1-127,20220328,2
22-1-127,20220329,2
22-1-127,20220330,2
22-1-127,20220331,2
22-1-127,20220401,2
22-1-127,20220402,2
22-1-127,20220403,2
22-1-127,20220404,2
22-1-127,20220405,2
22-1-127,20220406,2
22-1-127,20220407,2
22-1-127,20220408,2
22-1-127,20220409,2
22-1-127,20220410,2
22-1-127,20220411,2
22-1-127,20220412,2
22-1-127,20220413,2
22-1-127,20220414,2
22-1-127,20220415,2
22-1-127,20220416,2
22-1-127,20220417,2
22-1-127,20220418,2
22-1-127,20220419,2
22-1-127,20220420,2
22-1-127,20220421,2
22-1-127,20220422,2
22-1-127,20220423,2
22-1-127,20220424,2
22-1-127,20220425,2
22-1-127,20220426,2
22-1-127,20220427,2
22-1-127,20220428,2
22-1-127,20220430,2
22-1-127,20220501,2
22-1-127,20220502,2
22-1-127,20220503,2
22-1-127,20220504,2
22-1-127,20220505,2
22-1-127,20220507,2
22-1-127,20220508,2
22-1-127,20220509,2
22-1-127,20220510,2
22-1-127,20220511,2
22-1-127,20220512,2
22-1-127,20220513,2
22-1-127,20220514,2
22-1-127,20220515,2
22-1-127,20220516,2
22-1-127,20220517,2
22-1-127,20220518,2
22-1-127,20220519,2
22-1-127,20220520,2
22-1-127,20220521,2
22-1-127,20220522,2
22-1-127,20220523,2
22-1-127,20220524,2
22-1-127,20220525,2
22-1-127,20220526,2
22-1-127,20220528,2
22-1-127,20220529,2
22-1-127,20220530,2
22-1-127,20220531,2
22-1-127,20220601,2
22-1-127,20220602,2
22-1-127,20220603,2
22-1-127,20220604,2
22-1-127,20220605,2
22-1-127,20220606,2
22-1-127,20220607,2
22-1-127,20220608,2
22-1-127,20220609,2
22-1-127,20220610,2
22-1-127,20220611,2
22-1-127,20220612,2
22-1-127,20220613,2
22-1-127,20220614,2
22-1-127,20220615,2
22-1-127,20220616,2
22-1-127,20220617,2
22-1-127,20220618,2
22-1-127,20220619,2
22-1-127,20220620,2
22-1-127,20220621,2
22-1-127,20220622,2
22-1-127,20220623,2
22-1-127,20220624,2
22-1-127,20220625,2
22-1-127,20220626,2
22-1-127,20220627,2
22-1-127,20220628,2
22-1-127,20220629,2
22-1-127,20220630,2
22-1-127,20220701,2
22-1-127,20220702,2
22-1-127,20220703,2
22-1-127,20220704,2
22-1-127,20220705,2
22-1-127,20220706,2
22-1-127,20220707,2
22-1-127,20220708,2
22-1-127,20220709,2
22-1-127,20220710,2
22-1-127,20220711,2
22-1-127,20220712,2
22-1-127,20220713,2
22-1-127,20220714,2
22-1-127,20220715,2
22-1-127,20220716,2
22-1-127,20220717,2
22-1-127,20220718,2
22-1-127,20220719,2
22-1-127,20220720,2
22-1-127,20220721,2
22-1-127,20220722,2
22-1-127,20220723,2
22-1-127,20220724,2
22-1-127,20220725,2
22-1-127,20220726,2
22-1-127,20220727,2
22-1-127,20220728,2
22-1-127,20220729,2
22-1-127,20220730,2
22-1-127,20220731,2
22-1-127,20220801,2
22-1-127,20220802,2
22-1-127,20220803,2
22-1-127,20220804,2
22-1-127,20220805,2
22-1-127,20220806,2
22-1-127,20220807,2
22-1-127,20220808,2
22-1-127,20220809,2
22-1-127,20220810,2
22-1-127,20220811,2
22-1-127,20220812,2
22-1-127,20220813,2
22-1-127,20220814,2
22-1-127,20220815,2
22-1-127,20220816,2
22-1-127,20220817,2
22-1-127,20220818,2
22-1-127,20220819,2
22-1-127,20220820,2
22-1-127,20220821,2
22-1-127,20220822,2
22-1-127,20220823,2
22-1-127,20220824,2
22-1-127,20220825,2
22-1-127,20220826,2
22-1-127,20220827,2
22-1-127,20220828,2
23-1-127,20220325,2
23-1-127,20220326,2
23-1-127,20220327,2
23-1-127,20220401,2
23-1-127,20220402,2
23-1-127,20220403,2
23-1-127,20220408,2
23-1-127,20220409,2
23-1-127,20220410,2
23-1-127,20220415,2
23-1-127,20220416,2
23-1-127,20220417,2
23-1-127,20220418,2
23-1-127,20220422,2
23-1-127,20220423,2
23-1-127,20220424,2
23-1-127,20220425,2
23-1-127,20220426,2
23-1-127,20220427,2
23-1-127,20220428,2
23-1-127,20220429,2
23-1-127,20220430,2
23-1-127,20220501,2
23-1-127,20220502,2
23-1-127,20220503,2
23-1-127,20220504,2
23-1-127,20220505,2
23-1-127,20220506,2
23-1-127,20220507,2
23-1-127,20220508,2
23-1-127,20220509,2
23-1-127,20220510,2
23-1-127,20220511,2
23-1-127,20220512,2
23-1-127,20220513,2
23-1-127,20220514,2
23-1-127,20220515,2
23-1-127,20220516,2
23-1-127,20220517,2
23-1-127,20220518,2
23-1-127,20220519,2
23-1-127,20220520,2
23-1-127,20220521,2
23-1-127,20220522,2
23-1-127,20220523,2
23-1-127,20220524,2
23-1-127,20220525,2
23-1-127,20220526,2
23-1-127,20220527,2
23-1-127,20220528,2
23-1-127,20220529,2
23-1-127,20220530,2
23-1-127,20220531,2
23-1-127,20220601,2
23-1-127,20220602,2
23-1-127,20220603,2
23-1-127,20220604,2
23-1-127,20220605,2
23-1-127,20220606,2
23-1-127,20220607,2
23-1-127,20220608,2
23-1-127,20220609,2
23-1-127,20220610,2
23-1-127,20220611,2
23-1-127,20220612,2
23-1-127,20220613,2
23-1-127,20220614,2
23-1-127,20220615,2
23-1-127,20220616,2
23-1-127,20220617,2
23-1-127,20220618,2
23-1-127,20220619,2
23-1-127,20220620,2
23-1-127,20220621,2
23-1-127,20220622,2
23-1-127,20220623,2
23-1-127,20220624,2
23-1-127,20220625,2
23-1-127,20220626,2
23-1-127,20220627,2
23-1-127,20220628,2
23-1-127,20220629,2
23-1-127,20220630,2
23-1-127,20220701,2
23-1-127,20220702,2
23-1-127,20220703,2
23-1-127,20220704,2
23-1-127,20220705,2
23-1-127,20220706,2
23-1-127,20220707,2
23-1-127,20220708,2
23-1-127,20220709,2
23-1-127,20220710,2
23-1-127,20220711,2
23-1-127,20220712,2
23-1-127,20220713,2
23-1-127,20220714,2
23-1-127,20220715,2
23-1-127,20220716,2
23-1-127,20220717,2
23-1-127,20220718,2
23-1-127,20220719,2
23-1-127,20220720,2
23-1-127,20220721,2
23-1-127,20220722,2
23-1-127,20220723,2
23-1-127,20220724,2
23-1-127,20220725,2
23-1-127,20220726,2
23-1-127,20220727,2
23-1-127,20220728,2
23-1-127,20220729,2
23-1-127,20220730,2
23-1-127,20220731,2
23-1-127,20220801,2
23-1-127,20220802,2
23-1-127,20220803,2
23-1-127,20220804,2
23-1-127,20220805,2
23-1-127,20220806,2
23-1-127,20220807,2
23-1-127,20220808,2
23-1-127,20220809,2
23-1-127,20220810,2
23-1-127,20220811,2
23-1-127,20220812,2
23-1-127,20220813,2
23-1-127,20220814,2
23-1-127,20220815,2
23-1-127,20220816,2
23-1-127,20220817,2
23-1-127,20220818,2
23-1-127,20220819,2
23-1-127,20220820,2
23-1-127,20220821,2
23-1-127,20220822,2
23-1-127,20220823,2
23-1-127,20220824,2
23-1-127,20220825,2
23-1-127,20220826,2
23-1-127,20220827,2
23-1-127,20220828,2
24-1-127,20220321,2
24-1-127,20220322,2
24-1-127,20220323,2
24-1-127,20220324,2
24-1-127,20220326,2
24-1-127,20220327,2
24-1-127,20220328,2
24-1-127,20220329,2
24-1-127,20220330,2
24-1-127,20220331,2
24-1-127,20220402,2
24-1-127,20220403,2
24-1-127,20220404,2
24-1-127,20220405,2
24-1-127,20220406,2
24-1-127,20220407,2
24-1-127,20220409,2
24-1-127,20220410,2
24-1-127,20220411,2
24-1-127,20220412,2
24-1-127,20220413,2
24-1-127,20220414,2
24-1-127,20220416,2
24-1-127,20220417,2
24-1-127,20220418,2
24-1-127,20220419,2
24-1-127,20220420,2
24-1-127,20220421,2
24-1-127,20220423,2
24-1-127,20220424,2
24-1-127,20220425,2
24-1-127,20220426,2
24-1-127,20220427,2
24-1-127,20220428,2
24-1-127,20220429,2
24-1-127,20220430,2
24-1-127,20220501,2
24-1-127,20220502,2
24-1-127,20220503,2
24-1-127,20220504,2
24-1-127,20220505,2
24-1-127,20220506,2
24-1-127,20220507,2
24-1-127,20220508,2
24-1-127,20220509,2
24-1-127,20220510,2
24-1-127,20220511,2
24-1-127,20220512,2
24-1-127,20220513,2
24-1-127,20220514,2
24-1-127,20220515,2
24-1-127,20220516,2
24-1-127,20220517,2
24-1-127,20220518,2
24-1-127,20220519,2
24-1-127,20220520,2
24-1-127,20220521,2
24-1-127,20220522,2
24-1-127,20220523,2
24-1-127,20220524,2
24-1-127,20220525,2
24-1-127,20220526,2
24-1-127,20220527,2
